Method,Tuning,MSE,Correlation,Sensitivity,Specificity,Precision
Lasso,CV-MSE,19.55,0.83,0.56,0.92,0.68
,Orchestrated,20.78,0.79,0.64,0.78,0.46
ENet,CV-MSE,18.6,0.85,0.67,0.81,0.62
,Orchestrated,19.78,0.77,0.76,0.79,0.52
Grace,CV-MSE,15.47,0.86,0.95,0.43,0.35
,Orchestrated,18.46,0.82,0.84,0.66,0.47
GBLasso,CV-MSE,21.37,0.64,0.99,0.24,0.31
,Orchestrated,19.06,0.67,0.99,0.16,0.28
Linf,CV-MSE,16.44,0.78,0.99,0.92,0.78
,Orchestrated,18.04,0.74,0.99,0.81,0.61
Composite,CV-MSE,21.32,0.75,0.58,0.94,0.78
,Orchestrated,26.75,0.69,0.63,0.87,0.59
