Method,MSE,Correlation,Sensitivity,Specificity,Precision
Lasso,19.55,0.83,0.56,0.92,0.68
,(13.15),(0.11),(0.15),(0.05),(0.12)
Elastic Net,18.60,0.85,0.67,0.81,0.62
,(12.65),(0.10),(0.21),(0.22),(0.15)
Grace,15.47,0.86,0.95,0.43,0.35
,(11.33),(0.09),(0.09),(0.27),(0.13)
aGrace,20.67,0.71,0.76,0.63,0.46
,(13.75),(0.24),(0.23),(0.33),(0.21)
GBLasso,21.37,0.64,0.99,0.24,0.31
,(12.23),(0.16),(0.03),(0.19),(0.17)
Linf,16.44,0.78,0.99,0.92,0.78
,(10.02),(0.15),(0.02),(0.04),(0.13)
aLinf,20.16,0.57,0.99,0.92,0.78
,(10.63),(0.25),(0.02),(0.04),(0.13)
TTLP,23.64,0.78,0.74,0.43,0.48
,(16.87),(0.19),(0.34),(0.46),(0.29)
LTLP,20.99,0.80,0.88,0.69,0.51
,(15.28),(0.15),(0.11),(0.26),(0.15)
Composite,21.32,0.75,0.58,0.94,0.78
,(13.86),(0.14),(0.17),(0.10),(0.14)
