Method,Lasso,ENet,Grace,aGrace,GBLasso,Linf,aLinf,TTLP,LTLP,Composite
Lasso,1.00,0.94,0.81,0.74,0.70,0.82,0.58,0.84,0.86,0.90
,(0.00),(0.08),(0.06),(0.28),(0.09),(0.06),(0.21),(0.12),(0.09),(0.10)
ENet,0.94,1.00,0.85,0.83,0.78,0.85,0.67,0.82,0.88,0.91
,(0.08),(0.00),(0.08),(0.18),(0.12),(0.08),(0.21),(0.13),(0.08),(0.07)
Grace,0.81,0.85,1.00,0.72,0.81,0.91,0.69,0.76,0.81,0.79
,(0.06),(0.08),(0.00),(0.15),(0.10),(0.06),(0.16),(0.17),(0.11),(0.06)
aGrace,0.74,0.83,0.72,1.00,0.70,0.73,0.74,0.69,0.76,0.78
,(0.28),(0.18),(0.15),(0.00),(0.13),(0.13),(0.23),(0.24),(0.21),(0.23)
GBLasso,0.70,0.78,0.81,0.70,1.00,0.89,0.77,0.64,0.75,0.79
,(0.09),(0.12),(0.10),(0.13),(0.00),(0.09),(0.13),(0.16),(0.09),(0.07)
Linf,0.82,0.85,0.91,0.73,0.89,1.00,0.77,0.74,0.81,0.82
,(0.06),(0.08),(0.06),(0.13),(0.09),(0.00),(0.13),(0.16),(0.08),(0.06)
aLinf,0.58,0.67,0.69,0.74,0.77,0.77,1.00,0.58,0.67,0.68
,(0.21),(0.21),(0.16),(0.23),(0.13),(0.13),(0.00),(0.22),(0.19),(0.21)
TTLP,0.84,0.82,0.76,0.69,0.64,0.74,0.58,1.00,0.83,0.79
,(0.12),(0.13),(0.17),(0.24),(0.16),(0.16),(0.22),(0.00),(0.16),(0.15)
LTLP,0.86,0.88,0.81,0.76,0.75,0.81,0.67,0.83,1.00,0.88
,(0.09),(0.08),(0.11),(0.21),(0.09),(0.08),(0.19),(0.16),(0.00),(0.09)
Composite,0.90,0.91,0.79,0.78,0.79,0.82,0.68,0.79,0.88,1.00
,(0.10),(0.07),(0.06),(0.23),(0.07),(0.06),(0.21),(0.15),(0.09),(0.00)
