Method,Lasso,ENet,Grace,GBLasso,Linf,Composite
Lasso,1.00,0.95,0.91,0.83,0.86,0.93
,(0.00),(0.03),(0.09),(0.08),(0.06),(0.03)
ENet,0.95,1.00,0.95,0.93,0.93,0.92
,(0.03),(0.00),(0.07),(0.03),(0.02),(0.02)
Grace,0.91,0.95,1.00,0.89,0.92,0.86
,(0.09),(0.07),(0.00),(0.06),(0.03),(0.08)
GBLasso,0.83,0.93,0.89,1.00,0.98,0.85
,(0.08),(0.03),(0.06),(0.00),(0.01),(0.05)
Linf,0.86,0.93,0.92,0.98,1.00,0.86
,(0.06),(0.02),(0.03),(0.01),(0.00),(0.04)
Composite,0.93,0.92,0.86,0.85,0.86,1.00
,(0.03),(0.02),(0.08),(0.05),(0.04),(0.00)
