model,mse mean,mse std,correlation mean,correlation std,sens mean,sens std,spec mean,spec std,prec mean,prec std
lasso,9.6146304323,8.56653526733,0.766053752028,0.197197278156,0.543068181818,0.203243058889,0.923549221228,0.0202268340301,0.645976295334,0.148025781816
enet,8.73596892492,7.86707798941,0.809444118082,0.149025016878,0.668503787879,0.208196608571,0.880131358972,0.0738147065348,0.625912491711,0.129307755384
grace,3.6867931965,4.87479929754,0.889014019574,0.121256469406,0.811685606061,0.236994085538,0.670121776191,0.312324738502,0.523509770718,0.167418829425
agrace,8.64736327785,7.58859415648,0.774249928002,0.162286291273,0.649204545454,0.204242269692,0.890381895217,0.0629142689873,0.636769080767,0.138913615947
gblasso,9.87707981569,7.09796324567,0.560141947513,0.226454880059,0.999772727273,0.00101639453513,0.00478801922266,0.0073113010531,0.240923475349,0.116669163971
linf,5.0849545244,4.57175706922,0.725786585929,0.239931647123,0.981647727273,0.0510069801256,0.652170183655,0.439918664895,0.633196891853,0.319360294348
alinf,12.0714624483,14.0202148919,0.373165833953,0.35382535737,0.980738636364,0.0539585084484,0.657126893612,0.44285899278,0.641268601812,0.319837248424
ttlp,8.32233961575,12.3236560844,0.776198262666,0.244806834963,0.918068181818,0.158168134365,0.650230921992,0.312405064932,0.512307758126,0.205669682863
ltlp,6.14753704033,10.6108912482,0.827996537746,0.201353671979,0.972632575758,0.0575132754803,0.376750204971,0.293092261008,0.357702926354,0.158452205686
composite,2.80905462688,5.11725143357,0.897839450777,0.129444757892,0.859962121212,0.246530039501,0.847246866294,0.16125764198,0.6922486588,0.200338748013
